AÑO	Mes	# MES	WEEK	FECHA	CL#	TIPO DE CAJA	CONTAINERS
2025	agosto	8	32	1/8/2025	ME014	22XU	5
2025	agosto	8	33	1/8/2025	ME001	208	9
2025	agosto	8	33	1/8/2025	ME005	208	7
2025	agosto	8	33	1/8/2025	ME010	22XU	7
2025	agosto	8	33	1/8/2025	ME014	22XU	15
2025	agosto	8	34	1/8/2025	ME001	208	9
2025	agosto	8	34	1/8/2025	ME005	208	7
2025	agosto	8	34	1/8/2025	ME010	22XU	7
2025	agosto	8	34	1/8/2025	ME014	22XU	10
2025	agosto	8	35	1/8/2025	ME001	208	9
2025	agosto	8	35	1/8/2025	ME005	208	7
2025	agosto	8	35	1/8/2025	ME010	22XU	7
2025	septiembre	9	36	1/9/2025	ME001	208	9
2025	septiembre	9	36	1/9/2025	ME005	208	7
2025	septiembre	9	36	1/9/2025	ME010	22XU	7
2025	septiembre	9	37	1/9/2025	ME001	208	9
2025	septiembre	9	37	1/9/2025	ME005	208	7
2025	septiembre	9	37	1/9/2025	ME010	22XU	7
2025	septiembre	9	37	1/9/2025	ME014	22XU	5
2025	septiembre	9	38	1/9/2025	ME001	208	3
2025	septiembre	9	38	1/9/2025	ME005	208	5
2025	septiembre	9	38	1/9/2025	ME010	22XU	6
2025	septiembre	9	38	1/9/2025	ME014	208	6
